Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,POINTS_BEHIND_LEAD,ROUNDS_PLAYED,SG_PUTTING_PER_ROUND,TOTAL_SG:PUTTING,MEASURED_ROUNDS,AVG_Driving_DISTANCE,UP_AND_DOWN_%,PAR_OR_BETTER,MISSED_GIR,FAIRWAY_HIT_%,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,GIR_RANK,GOING_FOR_GREEN_IN_2%,ATTEMPTS_GFG,NON-ATTEMPTS_GFG,RTP-GOING_FOR_THE_GREEN,RTP-NOT_GOING_FOR_THE_GRN,HOLE_OUTS,SAND_SAVE%,NUMBER_OF_SAVES,NUMBER_OF_BUNKERS,TOTAL_O/U_PAR,Three_PUTT%,TOTAL_3_PUTTS,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,DRIVES_320+%,TOTAL_DRIVES_FOR_320+,TOTAL_DRIVES,ROUGH_TENDNECY%,TOTAL_ROUGH,FAIRWAY_BUNKER%,TOTAL_FAIRWAY_BUNKERS,AVG_CLUB_HEAD_SPEED,FASTEST_CH_SPEED,SLOWEST_CH_SPEED,AVG_BALL_SPEED,FASTEST_BALL_SPEED,SLOWEST_BALL_SPEED,AVG_SMASH_FACTOR,HIGHEST_SF,LOWEST_SF,AVG_LAUNCH_ANGLE,LOWEST_LAUNCH_ANGLE,STEEPEST_LAUNCH_ANGLE,AVG_SPIN_RATE,HIGHEST_SPIN_RATE,LOWEST_SPIN_RATE,AVG_HANG_TIME,LONGEST_ACT.HANG_TIME,SHORTEST_ACT.HANG_TIME,AVG_CARRY_DISTANCE,LONGEST_CARRY_DISTANCE,SHORTEST_CARRY_DISTANCE,AVG_SCORE,TOTAL_STROKES,TOTAL_ROUNDS,MAKES_BOGEY%,BOGEYS_MADE,HOLES_PLAYED,AGE
Cameron Smith,22,2231,0,7,3386,77,0.317,16.169,51,298.8,62.47,278,445,57.01,545,956,160,58.76,114,80,-65,-16,10,57.04,81,142,33,1.73,23,0.198,-0.028,-0.01,0.236,11.95,92,770,32.5,247,6.2,47,113.33,118.83,109.29,169.79,174.09,164.78,1.498,1.514,1.457,12.24,8.69,16.29,2520.8,4190,1444,6.7,7.6,4.8,281.3,306.8,247.5,70.525,5213,74,15.62,208,1332,25
Cameron Tringale,26,88,0,0,5529,67,-0.104,-5.292,51,289.3,55.24,216,391,51.99,458,881,117,44.04,85,108,-49,1,3,52.81,47,89,32,3.79,43,-0.915,-1.351,0.348,0.088,7.28,52,714,33.33,231,7.5,52,111.19,117.1,106.97,164.74,172.26,157.44,1.482,1.512,1.416,12.21,7.62,14.92,2563.8,3848,1752,6.3,7.8,1.5,278.3,301.3,252.2,72.146,4525,63,18.52,210,1134,33
Chad Campbell,28,361,0,2,5256,87,-0.454,-30.441,67,286.5,59.39,291,490,64.7,713,1102,116,41.53,98,138,-48,-16,6,50,71,142,57,4.22,60,-0.029,-0.042,-0.01,0.023,4.07,38,934,28.53,265,6.5,60,109.5,114.26,104.77,163.67,170.42,157.86,1.494,1.513,1.427,12.2,6.92,15.61,2606.5,4803,1588,5.8,7.5,3.2,267.2,289,237.6,71.683,5632,79,17.65,251,1422,38
Charl Schwartzel,20,528,0,3,5089,65,0.048,1.932,40,299.5,58.4,226,387,54.86,429,782,183,62.5,95,57,-46,2,4,48.87,65,133,42,2.97,31,-0.205,-0.075,-0.092,-0.038,15.83,88,556,32.36,177,7.5,41,118.79,122.29,115.56,175.55,179.35,168.95,1.478,1.512,1.435,12.18,7.49,16.77,2849.8,5006,2064,6.1,8,4.3,287.4,311.9,267.7,71.349,4160,58,18.87,197,1044,34
Charles Howell III,27,905,0,4,4712,100,0.109,7.604,70,300.8,61.84,316,511,62.36,802,1286,35,55.34,140,113,-71,-21,8,56.49,87,154,34,2.33,42,0.668,0.355,0.209,0.103,12.02,124,"1,032",27.89,287,6.1,63,118.01,121.08,114.16,174.85,177.74,170.42,1.481,1.509,1.439,12.18,5.69,16.52,2748.6,8332,1887,6.2,7.8,4.1,279.8,303.5,248,70.219,7011,100,14,252,1800,39
Charley Hoffman,25,689,0,0,4928,87,0.06,3.858,64,299.1,56.83,258,454,57.18,609,1065,98,63.45,158,91,-75,-4,10,45.19,61,135,56,2.57,37,0.288,0.231,0.202,-0.145,14.09,126,894,30.53,272,7.5,67,115.76,119.71,112.27,172.4,176.74,165.22,1.489,1.518,1.44,12.18,7.3,16.2,2888.6,5682,1929,6.5,8.2,4.7,282.4,313.6,252.8,70.521,5651,80,16.81,242,1440,41
Chesson Hadley,29,1144,0,7,4473,99,0.271,22.518,83,300.1,56.69,301,531,59.42,773,1301,55,52.98,169,150,-103,-22,17,47.22,68,144,52,2.36,42,0.751,0.148,0.701,-0.099,10.86,132,"1,216",29.07,350,5.8,70,114.26,118.54,109.79,171.81,175.45,165.45,1.503,1.517,1.449,12.16,4.57,16.45,2414.2,5958,1659,6.3,7.5,4.1,283.2,309.1,244.2,70.311,6941,99,15.99,285,1782,31
Chez Reavie,27,1184,0,3,4433,89,0.195,10.551,54,287.3,62.61,283,452,71.67,802,1119,47,48.02,97,105,-55,-3,11,42.34,58,137,59,2.84,44,0.561,0.236,0.483,-0.158,4.2,34,810,21.14,171,5.3,43,108.83,114.36,105.1,160.99,163.25,157.99,1.479,1.516,1.412,12.15,7.24,18.62,2500,4870,1821,6.1,7,4.1,266.9,289.1,240.1,70.432,6036,86,14.34,222,1548,36
Chris Kirk,28,834,0,4,4783,104,0.112,10.284,92,290.2,63.34,375,592,64.02,911,1423,76,49.4,166,170,-97,-33,20,53.8,99,184,37,2.52,48,0.679,-0.041,0.529,0.19,4.78,64,"1,340",27.02,361,6,80,112.01,117.17,107.49,165.84,170.68,159.03,1.48,1.514,1.377,12.12,6.92,16.94,2570.5,5103,1512,6.1,7.5,3.5,270.7,296.8,246.1,70.411,7411,106,13.78,263,1908,34
Chris Stroud,27,255,0,1,5362,81,0.053,3.098,58,289.8,59.96,292,487,62.24,638,1025,173,62.21,135,82,-63,8,11,53.42,78,146,47,2.89,38,-0.391,-0.277,-0.056,-0.058,7.97,65,816,28.47,230,6.4,52,111.96,116.58,106.59,166.06,173.09,159.47,1.483,1.517,1.422,12.1,9.55,14.76,2773.5,6046,1879,6.2,7.5,2.9,271.9,298,232.3,71.628,5195,73,17.2,226,1314,32
