,AGE,ATTEMPTS_GFG,AVG_Driving_DISTANCE,AVG_SCORE,FAIRWAY_HIT_%,GIR_RANK,MISSED_GIR,NUMBER_OF_TOP_Tens,NUMBER_OF_WINS,PAR_OR_BETTER,POINTS,ROUGH_TENDNECY%,SAND_SAVE%,SG:APR,SG:ARG,SG:OTT,TOTAL_3_PUTTS,TOTAL_SG:PUTTING,UP_AND_DOWN_%,labels
173,26.0,130.0,298.9,71.149,57.31,162.0,472.0,0.0,0.0,281.0,308.0,33.61,51.52,0.075,0.053,-0.322,36.0,1.897,59.53,0
174,31.0,116.0,286.0,71.024,66.76,169.0,539.0,1.0,1.0,315.0,809.0,25.77,53.42,-0.179,0.14,-0.044,49.0,2.977,58.44,3
175,42.0,95.0,303.5,69.457,57.39,89.0,342.0,5.0,0.0,220.0,1342.0,30.12,47.78,0.955,0.367,-0.006,30.0,11.561,64.33,1
176,45.0,164.0,291.4,70.945,62.43,161.0,609.0,3.0,0.0,374.0,608.0,27.02,49.36,0.297,-0.079,0.018,61.0,-13.429,61.41,3
177,41.0,184.0,315.9,71.252,54.73,92.0,480.0,2.0,0.0,250.0,332.0,33.47,49.65,-0.24,-0.279,0.379,54.0,-3.415,52.08,4
178,27.0,113.0,307.5,69.339,63.29,52.0,308.0,5.0,0.0,175.0,1424.0,25.43,51.46,0.359,0.392,0.567,28.0,5.785,56.82,1
179,28.0,192.0,316.3,69.515,53.9,18.0,462.0,10.0,0.0,268.0,3169.0,33.66,45.89,0.49,0.254,0.509,38.0,8.25,58.01,1
180,27.0,131.0,318.7,70.815,54.98,106.0,409.0,3.0,0.0,226.0,550.0,33.25,49.14,-0.416,-0.195,0.51,31.0,4.472,55.26,4
181,31.0,154.0,295.4,70.888,62.93,130.0,533.0,3.0,1.0,307.0,616.0,26.73,48.47,0.086,-0.092,0.138,36.0,5.594,57.6,3
182,30.0,169.0,294.4,71.04,66.37,25.0,483.0,2.0,0.0,260.0,457.0,25.51,33.8,0.44,-0.145,0.269,60.0,-42.673,53.83,4
183,33.0,138.0,290.3,71.243,56.98,124.0,582.0,1.0,0.0,338.0,364.0,31.21,49.01,-0.008,0.187,-0.493,40.0,-0.826,58.08,3
184,32.0,66.0,298.2,70.091,60.49,109.0,282.0,4.0,0.0,178.0,932.0,29.57,53.42,0.182,0.112,0.207,24.0,9.23,63.12,2
185,36.0,115.0,286.1,70.692,67.51,94.0,469.0,3.0,0.0,281.0,445.0,23.23,47.65,0.305,-0.002,-0.005,52.0,-5.585,59.91,3
186,33.0,128.0,293.6,69.311,61.96,75.0,464.0,7.0,1.0,309.0,1848.0,30.15,63.04,0.489,0.315,-0.07,27.0,41.8,66.59,1
187,32.0,59.0,280.4,71.552,55.41,184.0,467.0,0.0,0.0,281.0,219.0,32.63,49.58,0.222,0.407,-1.443,25.0,18.354,60.17,0
188,26.0,106.0,285.8,71.477,61.11,163.0,584.0,3.0,0.0,342.0,805.0,28.15,61.82,0.03,-0.146,-0.748,47.0,31.181,58.56,3
189,34.0,126.0,289.3,70.791,59.89,81.0,455.0,3.0,0.0,286.0,449.0,30.76,53.28,0.091,0.194,-0.306,34.0,14.964,62.86,3
190,24.0,169.0,304.6,70.547,59.28,138.0,513.0,5.0,0.0,300.0,1109.0,27.19,47.67,0.171,-0.078,0.25,45.0,0.167,58.48,4
191,31.0,129.0,298.7,71.486,65.33,93.0,445.0,1.0,0.0,259.0,195.0,25.83,49.23,-0.254,-0.182,0.139,61.0,-24.884,58.2,4
192,29.0,74.0,279.5,71.215,62.76,100.0,350.0,0.0,0.0,215.0,176.0,33.28,61.63,0.072,0.394,-0.345,22.0,9.34,61.43,2
193,42.0,106.0,290.1,69.911,63.38,85.0,463.0,2.0,0.0,286.0,890.0,25.4,51.77,0.41,0.382,-0.005,32.0,14.042,61.77,3
194,21.0,67.0,291.9,72.773,54.76,158.0,320.0,0.0,0.0,165.0,21.0,34.61,46.51,-0.265,-0.187,-0.079,43.0,-24.01,51.56,0
